Alapkezelő;Alap megnevezése;Sorozat megnevezése;Az alap (sorozat) ISIN kódja / egyéb azonosító;Alap fajta;Futamidő;Elsődleges eszközkategória;Befektetési politika;Földrajzi, devizális kitettség;Devizanem;Az alap (sorozat) átlagos nettó eszközértéke;"Alapkezelési díj 
(tájékoztató alapján) %-ban";"Sikerdíj 
(tájékoztató alapján) %-ban";A sikerdíj elszámolás gyakorisága;Letétkezelési díj (tájékoztató alapján) %-ban;Egyéb, a tájékoztatóban %-os formában meghatározott díjak összesen, %-ban;A tájékoztatóban %-ban meghatározott maximális díjterhelés;Az alapra terhelt összes költség;Az alapra terhelt alapkezelési díj ;Az alapra terhelt sikerdíj ;Az alapra terhelt eladási, visszaváltási, forgalmazási jutalék;Az alapra terhelt letétkezelési díj ;Az alapra terhelt egyéb költségek;Korrigált  értékpapír kereskedési és bankköltség;ezen belül: a 10 %-nál nagyobb arányt jelentő kollektív értékpapírokba történő befektetés kapcsán felmerült költségek;Ingatlanalapokra terhelt értékcsökkenés, továbbszámlázott közüzemi díjak, egyéb költségek;A 10 %-nál nagyobb arányt jelentő kollektív értékpapírokba történő befektetéshez kapcsolódó arányosított, összesített folyó díjterhelési mutató (%);"Az alapra terhelt összes korrigált költség
(Ft / deviza)";Alapkezelési díj/összes korrigált költség (%);Letétkezelési díj/összes korrigált költség (%);Alapkezelési díj/SÁNE (%);Letétkezelési díj/SÁNE (%);"TER 2024
(%)"
Accorde Alapkezelő Zrt.;Accorde Abacus Abszolút Hozamú Alap;Accorde Abacus Abszolút Hozamú Alap C sorozat;HU0000730882;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;USD;13,451,361,961.00;2;20;éves;0.25;0.05;;542,499,134.00;241,276,280.00;266,669,648.00;0.00;6,504,511.00;8,453,545.00;19,595,150.00;0.00;0.00;0;256,234,336.00;94.16;2.54;1.79;0.05;1.90
Accorde Alapkezelő Zrt.;Accorde Abacus Abszolút Hozamú Alap;Accorde Abacus Abszolút Hozamú Alap A sorozat;HU0000716402;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;35,736,202,389.00;2;20;éves;0.25;0.05;;1,412,526,886.00;641,498,548.00;675,127,080.00;0.00;18,053,051.00;23,462,530.00;54,385,677.00;0.00;0.00;0;683,014,129.00;93.92;2.64;1.80;0.05;1.91
Accorde Alapkezelő Zrt.;Accorde Blanc Részvényalap;Accorde Blanc Részvényalap C sorozat;HU0000726658;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;USD;986,486,056.00;2.1;20;éves;0.25;0.05;;28,662,222.00;21,730,215.00;0.00;0.00;540,370.00;2,792,781.00;3,598,856.00;0.00;0.00;0.38;25,063,366.00;86.70;2.16;2.20;0.05;2.92
Accorde Alapkezelő Zrt.;Accorde Blanc Részvényalap;Accorde Blanc Részvényalap B sorozat;HU0000726666;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;533,755,196.00;2.1;20;éves;0.25;0.05;;15,940,136.00;11,646,104.00;0.00;0.00;334,732.00;1,729,989.00;2,229,311.00;0.00;0.00;0.38;13,710,825.00;84.94;2.44;2.18;0.06;2.95
Accorde Alapkezelő Zrt.;Accorde Bond Abszolút Hozamú Kötvényalap ;Accorde Bond Abszolút Hozamú Kötvényalap ;HU0000729678;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;36,220,857,932.00;2;20;éves;0.2;0.05;;1,033,896,928.00;725,022,335.00;272,478,489.00;0.00;11,415,717.00;20,943,249.00;4,037,138.00;0.00;0.00;0;757,381,301.00;95.73;1.51;2.00;0.03;2.09
Accorde Alapkezelő Zrt.;Accorde Cuvée Befektetési Alap;Accorde Cuvée Alap A sorozat;HU0000721774;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;10,552,379,741.00;2.2;20;éves;0.25;0.05;;275,156,692.00;227,610,736.00;22,445,103.00;0.00;5,107,698.00;5,635,919.00;14,357,236.00;0.00;0.00;0;238,354,353.00;95.49;2.14;2.16;0.05;2.26
Accorde Alapkezelő Zrt.;Accorde Cuvée Befektetési Alap;Accorde Cuvée Alap B sorozat;HU0000721782;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;13,272,010,574.00;2.2;20;éves;0.25;0.05;;250,360,303.00;205,634,979.00;11,858,175.00;0.00;6,688,038.00;7,379,694.00;18,799,417.00;0.00;0.00;0;219,702,711.00;93.60;3.04;1.55;0.05;1.66
Accorde Alapkezelő Zrt.;Accorde Cuvée Befektetési Alap;Accorde Cuvée Alap C sorozat;HU0000730890;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;USD;10,257,729,722.00;2.2;20;éves;0.25;0.05;;394,481,134.00;265,728,641.00;102,327,256.00;0.00;5,377,193.00;5,933,285.00;15,114,759.00;0.00;0.00;0;277,039,119.00;95.92;1.94;2.59;0.05;2.70
Accorde Alapkezelő Zrt.;Accorde Eklektika Alapok Alapja;Accorde Eklektika Alapok Alapja B Sorozat;HU0000716501;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;EUR;14,550,780,798.00;1.2;0;0;0.2;0.05;;11,786,935.00;0.00;0.00;0.00;5,124,997.00;5,842,959.00;818,979.00;0.00;0.00;1.78;10,967,956.00;0.00;46.73;0.00;0.04;1.86
Accorde Alapkezelő Zrt.;Accorde Eklektika Alapok Alapja;Accorde Eklektika Alapok Alapja A Sorozat;HU0000716519;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;HUF;11,745,163,823.00;1.2;0;0;0.2;0.05;;9,491,734.00;0.00;0.00;0.00;4,127,036.00;4,705,195.00;659,503.00;0.00;0.00;1.78;8,832,231.00;0.00;46.73;0.00;0.04;1.86
Accorde Alapkezelő Zrt.;Accorde Eklektika Alapok Alapja;Accorde Eklektika Alapok Alapja C Sorozat;HU0000717145;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;USD;6,916,880,053.00;1.2;0;0;0.2;0.05;;5,465,362.00;0.00;0.00;0.00;2,376,357.00;2,709,261.00;379,744.00;0.00;0.00;1.78;5,085,618.00;0.00;46.73;0.00;0.03;1.85
Accorde Alapkezelő Zrt.;Accorde Első Román Részvényalap;Accorde Első Román Részvényalap I sorozat;HU0000718622;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;7,844,864,804.00;1.2;20;éves;0.25;0.05;;157,482,964.00;70,951,268.00;67,387,912.00;0.00;8,013,487.00;5,758,903.00;5,371,394.00;0.00;0.00;0;84,723,658.00;83.74;9.46;0.90;0.10;1.08
Accorde Alapkezelő Zrt.;Accorde Első Román Részvényalap;Accorde Első Román Részvényalap A sorozat;HU0000718606;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;7,684,335,643.00;2.2;20;éves;0.25;0.05;;215,827,500.00;154,000,274.00;43,638,623.00;0.00;7,613,654.00;5,471,561.00;5,103,388.00;0.00;0.00;0;167,085,489.00;92.17;4.56;2.00;0.10;2.17
Accorde Alapkezelő Zrt.;Accorde Első Román Részvényalap;Accorde Első Román Részvényalap B sorozat;HU0000718614;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;4,024,158,954.00;2.2;20;éves;0.25;0.05;;90,180,216.00;80,650,992.00;0.00;0.00;3,988,883.00;2,866,616.00;2,673,725.00;0.00;0.00;0;87,506,491.00;92.17;4.56;2.00;0.10;2.17
Accorde Alapkezelő Zrt.;Accorde Eurobond Alap ;Accorde Eurobond Alap ;HU0000731880;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;EUR;47,532,115,901.00;2;0;0;0.2;0.05;;885,712,993.00;835,663,785.00;0.00;0.00;19,515,457.00;29,273,774.00;1,259,977.00;0.00;0.00;0;884,453,016.00;94.48;2.21;1.76;0.04;1.86
Accorde Alapkezelő Zrt.;Accorde Forza Alapok Alapja;Accorde Forza Alapok Alapja B Sorozat;HU0000716535;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;EUR;2,080,922,030.00;1.2;0;0;0.2;0.05;;2,214,938.00;0.00;0.00;0.00;731,601.00;1,307,893.00;175,444.00;0.00;0.00;0;2,039,494.00;0.00;35.87;0.00;0.04;0.10
Accorde Alapkezelő Zrt.;Accorde Forza Alapok Alapja;Accorde Forza Alapok Alapja C Sorozat;HU0000717152;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;USD;922,501,612.00;1.2;0;0;0.2;0.05;;982,753.00;0.00;0.00;0.00;324,607.00;580,303.00;77,843.00;0.00;0.00;0;904,910.00;0.00;35.87;0.00;0.04;0.10
Accorde Alapkezelő Zrt.;Accorde Forza Alapok Alapja;Accorde Forza Alapok Alapja A Sorozat;HU0000716527;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;HUF;2,827,674,704.00;1.2;0;0;0.2;0.05;;2,998,567.00;0.00;0.00;0.00;990,436.00;1,770,617.00;237,514.00;0.00;0.00;0;2,761,053.00;0.00;35.87;0.00;0.04;0.10
Accorde Alapkezelő Zrt.;Accorde Prizma Abszolút Hozamú Alap;Accorde Prizma Abszolút Hozamú Alap A Sorozat;HU0000716410;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;14,841,142,432.00;2;20;éves;0.25;0.05;;549,338,532.00;267,231,411.00;245,838,373.00;0.00;5,970,004.00;9,817,849.00;20,480,895.00;0.00;0.00;0;283,019,264.00;94.42;2.11;1.80;0.04;1.91
Accorde Alapkezelő Zrt.;Accorde Prizma Abszolút Hozamú Alap;Accorde Prizma Abszolút Hozamú Alap I Sorozat;HU0000725478;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;789,382,749.00;1;20;éves;0.25;0.05;;22,789,026.00;5,578,923.00;15,147,949.00;0.00;339,440.00;558,219.00;1,164,495.00;0.00;0.00;0;6,476,582.00;86.14;5.24;0.71;0.04;0.82
Accorde Alapkezelő Zrt.;Accorde Prizma Abszolút Hozamú Alap;Accorde Prizma Abszolút Hozamú Alap B Sorozat;HU0000721469;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;EUR;3,753,496,563.00;2;20;éves;0.25;0.05;;132,760,253.00;67,552,693.00;56,263,146.00;0.00;1,472,292.00;2,421,228.00;5,050,894.00;0.00;0.00;0;71,446,213.00;94.55;2.06;1.80;0.04;1.90
Accorde Alapkezelő Zrt.;Accorde Relax Alapok Alapja;Accorde Relax Alapok Alapja A sorozat;HU0000719232;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;HUF;983,428,715.00;2;20;éves;0.2;0.05;;17,713,036.00;15,771,361.00;0.00;0.00;375,341.00;1,309,940.00;256,394.00;0.00;0.00;1.64;17,456,642.00;90.35;2.15;1.60;0.04;3.42
Accorde Alapkezelő Zrt.;Accorde Relax Alapok Alapja;Accorde Relax Alapok Alapja B sorozat;HU0000719240;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;EUR;600,557,061.00;2;20;éves;0.2;0.05;;7,019,396.00;5,735,647.00;0.00;0.00;248,159.00;866,074.00;169,516.00;0.00;0.00;1.64;6,849,880.00;83.73;3.62;0.96;0.04;2.78
Accorde Alapkezelő Zrt.;Accorde Sharp Abszolút Hozamú Részalap;Accorde Sharp Abszolút Hozamú Részalap B Sorozat;HU0000725460;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;EUR;1,396,665,260.00;2.5;20;éves;0.2;0.05;;38,959,796.00;25,162,566.00;6,481,800.00;0.00;697,828.00;804,901.00;5,812,701.00;0.00;0.00;0;26,665,295.00;94.36;2.62;1.80;0.05;1.91
Accorde Alapkezelő Zrt.;Accorde Sharp Abszolút Hozamú Részalap;Accorde Sharp Abszolút Hozamú Részalap A Sorozat;HU0000717590;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;9,255,718,221.00;2.5;20;éves;0.2;0.05;;271,414,015.00;166,762,018.00;56,103,530.00;0.00;4,631,098.00;5,341,678.00;38,575,691.00;0.00;0.00;0;176,734,794.00;94.36;2.62;1.80;0.05;1.91
Accorde Alapkezelő Zrt.;Accorde Sharp Abszolút Hozamú Részalap;Accorde Sharp Abszolút Hozamú Részalap  I Sorozat;HU0000725452;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;462,002,026.00;1;20;éves;0.2;0.05;;9,585,121.00;3,229,674.00;3,912,869.00;0.00;233,000.00;268,752.00;1,940,826.00;0.00;0.00;0;3,731,426.00;86.55;6.24;0.70;0.05;0.81
