Nem Gránit Alapkezelős Alap (Peer) Név;Nem Gránit Alapkezelős Alap (Peer) ISIN kód;Gránit Alapkezelős Alap (azonos Peer Group) Név;Gránit Alapkezelős Alap (azonos Peer Group) ISIN kód
HOLD Közép-Európai Részvény Alap;HU0000706163;Gránit Közép-Európai Részvény Alap;HU0000719125
VIG Central European Equity Fund HUF-RP;HU0000702501;Gránit Közép-Európai Részvény Alap;HU0000719125
EQUILOR Közép-európai Részvény Alap A sorozat;HU0000714746;Gránit Közép-Európai Részvény Alap;HU0000719125
MBH Közép-Európai Részvény HUF sorozat;HU0000702717;Gránit Közép-Európai Részvény Alap;HU0000719125
K&H Közép Európai Részvény;HU0000702915;Gránit Közép-Európai Részvény Alap;HU0000719125
HOLD Nemzetközi Részvény Alapok Alapja A Sorozat;HU0000702295;Gránit Fejlett Piaci Származtatott Részvény Alap;HU0000716089
Erste Stock World HUF Alapok Alapja;HU0000712492;Gránit Fejlett Piaci Származtatott Részvény Alap;HU0000716089
VIG Opportunity Fund HUF-RP sorozat;HU0000702485;Gránit Fejlett Piaci Származtatott Részvény Alap;HU0000716089
Accorde World Nemzetközi Részvényalap;HU0000716436;Gránit Fejlett Piaci Származtatott Részvény Alap;HU0000716089
MBH Fejlett Piaci Részvény Alap HUF sorozat;HU0000701552;Gránit Fejlett Piaci Származtatott Részvény Alap;HU0000716089
OTP PRIME Euró Ingatlanpiaci Alapok Alapja;HU0000721477;Grandum Euró Ingatlan Alapok Alapja;HU0000714969
Erste Euro Ingatlan T sorozat;HU0000707740;Grandum Euró Ingatlan Alapok Alapja;HU0000714969
OTP Euró Ingatlanpiaci Alapok Alapja;HU0000717806;Grandum Euró Ingatlan Alapok Alapja;HU0000714969
OTP Dollár Ingatlanpiaci Alapok Alapja;HU0000717814;Grandum Dollár Ingatlan Alapok Alapja;HU0000720792
OTP Klímaváltozás Alap A sorozat;HU0000706239;Gránit Jövőkép ESG Részvény Alap A sorozat;HU0000725593
MBH ESG Globális Részvény Alap HUF sorozat;HU0000725783;Gránit Jövőkép ESG Részvény Alap A sorozat;HU0000725593
Erste ESG Stock Cost Averaging Alapok Alapja;HU0000726674;Gránit Jövőkép ESG Részvény Alap A sorozat;HU0000725593
Raiffeisen ESG Nemzetközi Részvény Alapok Alapja A sorozat;HU0000702790;Gránit Jövőkép ESG Részvény Alap A sorozat;HU0000725593
MBH Bonitas Euro Kötvény Alap;HU0000707138;Gránit EuroPlusz Abszolút Hozamú I sorozat;HU0000732631
Accorde Trezor Euro Alap;HU0000731484;Gránit EuroPlusz Abszolút Hozamú I sorozat;HU0000732631
HOLD Széf EURO Abszolút Hozamú Alap;HU0000705868;Gránit EuroPlusz Abszolút Hozamú I sorozat;HU0000732631
Erste Nyíltvégű Euro Bázis Befektetési Alap;HU0000706007;Gránit EuroPlusz Abszolút Hozamú I sorozat;HU0000732631
APELSO INCOME Kötvény Alap A sorozat;HU0000706494;Gránit Kötvény Alap;HU0000702857
SIFI Kötvény Alap A sorozat;HU0000734934;Gránit Kötvény Alap;HU0000702857
Amundi Rugalmas Kötvény A sorozat;HU0000722673;Gránit Kötvény Alap;HU0000702857
Erste Abszolút Hozamú Kötvény;HU0000710694;Gránit Kötvény Alap;HU0000702857
OTP Prémium Pénzpiaci Alap I Sorozat;HU0000732789;Gránit KamatPlusz Abszolút Hozamú Alap I sorozat;HU0000711544
VIG Pénzpiaci Alap I sorozat;HU0000718135;Gránit KamatPlusz Abszolút Hozamú Alap I sorozat;HU0000711544
HOLD Széf Abszolút Hozamú Befektetési Alap;HU0000701487;Gránit KamatPlusz Abszolút Hozamú Alap I sorozat;HU0000711544
Accorde Trezor Forint Rövid Kötvény Alap;HU0000730858;Gránit KamatPlusz Abszolút Hozamú Alap I sorozat;HU0000711544
Erste Nyíltvégű Bázis Befektetési Alap;HU0000702006;Gránit KamatPlusz Abszolút Hozamú Alap I sorozat;HU0000711544
MBH Bonitas Kötvényalap;HU0000702725;Gránit KamatPlusz Abszolút Hozamú Alap I sorozat;HU0000711544
Erste Multi Asset Base Alapok Alapja;HU0000709993;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
OTP Prémium Klasszikus;HU0000705017;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
VIG Konzervatív Részalap A sorozat;HU0000714076;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
K&H válogatott kényelem alapok alapja nomál sorozat;HU0000703418;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
MBH Prémium Konzervatív Vegyes Értékpapír Részalap A sorozat;HU0000716345;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
MBH Arany Alapok Alapja A sorozat;HU0000709290;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
MBH Közép-Európai Részvény HUF sorozat;HU0000702717;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
MBH Ambíció Abszolút Hozamú Alap HUF sorozat;HU0000712211;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
MBH Aktív Alfa Abszolút Hozamú Alap A sorozat;HU0000714225;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
MBH Egyensúly Vegyes Értékpapíralap A sorozat;HU0000712203;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
MBH Kontroll Abszolút Hozamú Alap A sorozat;HU0000702741;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
MBH Centrál Abszolút Hozamú Alap HUF sorozat;HU0000702964;Gránit Harmónia Vegyes Alap A sorozat;HU0000716071
Erste Multi Asset Balanced Vegyes;HU0000720529;Gránit Lendület Vegyes Értékpapíralap;HU0000724539
HOLD 2000 Nyíltvégű Vegyes Alap A sorozat HUF;HU0000701693;Gránit Lendület Vegyes Értékpapíralap;HU0000724539
Accorde Cuvée Befektetési Alap A sorozat;HU0000721774;Gránit Lendület Vegyes Értékpapíralap;HU0000724539
VIG Növekedési Részalap A sorozat;HU0000714159;Gránit Lendület Vegyes Értékpapíralap;HU0000724539
OTP Paletta Alap A Sorozat;HU0000702881;Gránit Lendület Vegyes Értékpapíralap;HU0000724539
K&H lendület felelős befektetés normál sorozat;HU0000723168;Gránit Lendület Vegyes Értékpapíralap;HU0000724539
MBH Prémium Dinamikus Vegyes Értékpapír Részalap A sorozat;HU0000716329;Gránit Lendület Vegyes Értékpapíralap;HU0000724539
Erste Ingatlan T sorozat;HU0000703160;MPT Ingatlan Alap ?A? Sorozat;HU0000713482
OTP Ingatlan A sorozat;HU0000702451;MPT Ingatlan Alap ?A? Sorozat;HU0000713482
OTP Optima A sorozat;HU0000702873;Gránit WM-1 Abszolút Hozamú Részalap A sorozat;HU0000713821
HOLD Széf Abszolút Hozamú Befektetési Alap;HU0000701487;Gránit WM-1 Abszolút Hozamú Részalap A sorozat;HU0000713821
Accorde Trezor Forint Rövid Kötvény Alap;HU0000730858;Gránit WM-1 Abszolút Hozamú Részalap A sorozat;HU0000713821
Erste Nyíltvégű Bázis Befektetési Alap;HU0000702006;Gránit WM-1 Abszolút Hozamú Részalap A sorozat;HU0000713821
MBH Bonitas Kötvényalap;HU0000702725;Gránit WM-1 Abszolút Hozamú Részalap A sorozat;HU0000713821
Accorde Bond Abszolút Hozamú Kötvényalap;HU0000729678;Gránit WM-2 Abszolút Hozamú Részalap A sorozat;HU0000713839
Erste Abszolút Hozamú Kötvény;HU0000710694;Gránit WM-2 Abszolút Hozamú Részalap A sorozat;HU0000713839
VIG BondMaxx A;HU0000709597;Gránit WM-2 Abszolút Hozamú Részalap A sorozat;HU0000713839
Accorde Cuvée Befektetési Alap A sorozat;HU0000721774;Gránit WM-3 Abszolút Hozamú Részalap A sorozat;HU0000713847
MBH Egyensúly Vegyes Értékpapíralap A sorozat;HU0000712203;Gránit WM-3 Abszolút Hozamú Részalap A sorozat;HU0000713847
HOLD VK 200 Alapokba Fektető Részalap A sorozat HUF;HU0000727755;Gránit WM-3 Abszolút Hozamú Részalap A sorozat;HU0000713847
OTP Prémium Aktív Klasszikus Alapok Alapja;HU0000715545;Gránit WM-3 Abszolút Hozamú Részalap A sorozat;HU0000713847
Erste Multi Asset Base Alapok Alapja;HU0000709993;Gránit WM-3 Abszolút Hozamú Részalap A sorozat;HU0000713847
OTP Flexible Alap A sorozat;HU0000709753;Gránit WM-4 Abszolút Hozamú Származtatott Alap;HU0000712062
APELSO Megatrends Részvény Alap;HU0000706510;Gránit WM-4 Abszolút Hozamú Származtatott Alap;HU0000712062
HOLD Beat Abszolút Hozamú Alap A sorozat FIX HUF;HU0000728928;Gránit WM-4 Abszolút Hozamú Származtatott Alap;HU0000712062
Accorde Abacus Abszolút Hozamú Alap A sorozat;HU0000716402;Gránit Abszolút Hozamú Származtatott Alap;HU0000707997
MBH Paradigma Abszolút Hozamú Alap HUF sorozat;HU0000713409;Gránit Abszolút Hozamú Származtatott Alap;HU0000707997
OTP Abszolút Hozamú Származtatott Alap A Sorozat;HU0000704457;Gránit Abszolút Hozamú Származtatott Alap;HU0000707997
Raiffeisen Etalon Alap A sorozat;HU0000703707;Gránit Abszolút Hozamú Származtatott Alap;HU0000707997
Accorde Eurobond;HU0000731880;Gránit Eurokamat Abszolút Hozamú I sorozat;HU0000734264
OTP Stratégiai Euró Kötvény Alap A;HU0000733472;Gránit Eurokamat Abszolút Hozamú I sorozat;HU0000734264
Erste Euró Abszolút Hozamú Kötvény Alap;HU0000728159;Gránit Eurokamat Abszolút Hozamú I sorozat;HU0000734264
MBH Vállalati Deviza Kötvény Alap EUR sorozat;HU0000706429;Gránit Eurokamat Abszolút Hozamú I sorozat;HU0000734264
VIG Fejlett Piaci ÁllamKötvény EI sorozat;HU0000732219;Gránit Eurokamat Abszolút Hozamú I sorozat;HU0000734264
Creditum Abszolút Hozamú Alap B sorozat EUR;HU0000731906;Gránit Eurokamat Abszolút Hozamú I sorozat;HU0000734264
